Признак,Тип,Обучение 2012-2013,Валидация 2014,Тест 2015
loan_amnt,число,0.0,0.0,0.0
int_rate,число,0.0,0.0,0.0
term_months,число,0.0,0.0,0.0
annual_inc,число,0.0,0.0,0.0
dti,число,0.0,0.0,0.0
delinq_2yrs,число,0.0,0.0,0.0
fico_range_low,число,0.0,0.0,0.0
fico_range_high,число,0.0,0.0,0.0
inq_last_6mths,число,0.0,0.0,0.0
open_acc,число,0.0,0.0,0.0
pub_rec,число,0.0,0.0,0.0
revol_bal,число,0.0,0.0,0.0
revol_util,число,0.07,0.05,0.04
total_acc,число,0.0,0.0,0.0
mort_acc,число,3.98,0.0,0.0
pub_rec_bankruptcies,число,0.0,0.0,0.0
grade,категория,0.0,0.0,0.0
sub_grade,категория,0.0,0.0,0.0
emp_length,категория,4.19,5.1,5.66
home_ownership,категория,0.0,0.0,0.0
verification_status,категория,0.0,0.0,0.0
purpose,категория,0.0,0.0,0.0
application_type,категория,0.0,0.0,0.0
